Java HotSpot(TM) 64-Bit Server VM (25.221-b11) for windows-amd64 JRE (1.8.0_221-b11), built on Jul  4 2019 04:39:29 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16688608k(8904504k free), swap 17737184k(6801176k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
0.179: [GC (Allocation Failure) [PSYoungGen: 65536K->10750K(76288K)] 65536K->22433K(251392K), 0.0033135 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.192: [GC (Allocation Failure) [PSYoungGen: 76286K->10738K(76288K)] 87969K->46382K(251392K), 0.0049225 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.204: [GC (Allocation Failure) [PSYoungGen: 75994K->10749K(76288K)] 111638K->65582K(251392K), 0.0041432 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.216: [GC (Allocation Failure) [PSYoungGen: 76074K->10738K(76288K)] 130907K->85330K(251392K), 0.0044171 secs] [Times: user=0.09 sys=0.00, real=0.00 secs] 
0.226: [GC (Allocation Failure) [PSYoungGen: 76004K->10742K(76288K)] 150596K->108078K(251392K), 0.0039944 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.237: [GC (Allocation Failure) [PSYoungGen: 76259K->10743K(40448K)] 173595K->128877K(215552K), 0.0047994 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.245: [GC (Allocation Failure) [PSYoungGen: 40439K->19425K(58368K)] 158573K->139869K(233472K), 0.0023550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.251: [GC (Allocation Failure) [PSYoungGen: 48935K->27705K(58368K)] 169379K->150665K(233472K), 0.0032711 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.258: [GC (Allocation Failure) [PSYoungGen: 57394K->28662K(58368K)] 180354K->161592K(233472K), 0.0044163 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.265: [GC (Allocation Failure) [PSYoungGen: 58348K->16431K(58368K)] 191279K->168649K(233472K), 0.0045798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.270: [Full GC (Ergonomics) [PSYoungGen: 16431K->0K(58368K)] [ParOldGen: 152218K->145524K(175104K)] 168649K->145524K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0157889 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
0.289: [GC (Allocation Failure) [PSYoungGen: 29392K->8105K(58368K)] 174917K->153630K(233472K), 0.0011559 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.294: [GC (Allocation Failure) [PSYoungGen: 37801K->9636K(58368K)] 183326K->163161K(233472K), 0.0021620 secs] [Times: user=0.09 sys=0.00, real=0.00 secs] 
0.296: [Full GC (Ergonomics) [PSYoungGen: 9636K->0K(58368K)] [ParOldGen: 153525K->152484K(175104K)] 163161K->152484K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0128331 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.312: [Full GC (Ergonomics) [PSYoungGen: 29696K->0K(58368K)] [ParOldGen: 152484K->158550K(175104K)] 182180K->158550K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0172655 secs] [Times: user=0.08 sys=0.02, real=0.02 secs] 
0.333: [Full GC (Ergonomics) [PSYoungGen: 29437K->0K(58368K)] [ParOldGen: 158550K->165049K(175104K)] 187988K->165049K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0147091 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
0.351: [Full GC (Ergonomics) [PSYoungGen: 29696K->0K(58368K)] [ParOldGen: 165049K->171568K(175104K)] 194745K->171568K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0175015 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
0.372: [Full GC (Ergonomics) [PSYoungGen: 29634K->2568K(58368K)] [ParOldGen: 171568K->175055K(175104K)] 201202K->177623K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0175068 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
0.393: [Full GC (Ergonomics) [PSYoungGen: 29592K->10888K(58368K)] [ParOldGen: 175055K->174854K(175104K)] 204647K->185742K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0180856 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
0.414: [Full GC (Ergonomics) [PSYoungGen: 29691K->13087K(58368K)] [ParOldGen: 174854K->175052K(175104K)] 204545K->188140K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0185554 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
0.434: [Full GC (Ergonomics) [PSYoungGen: 29492K->17221K(58368K)] [ParOldGen: 175052K->174700K(175104K)] 204545K->191921K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0188751 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
0.455: [Full GC (Ergonomics) [PSYoungGen: 29574K->18634K(58368K)] [ParOldGen: 174700K->175029K(175104K)] 204274K->193663K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0196791 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
0.476: [Full GC (Ergonomics) [PSYoungGen: 29167K->20956K(58368K)] [ParOldGen: 175029K->174707K(175104K)] 204196K->195664K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0159944 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
0.493: [Full GC (Ergonomics) [PSYoungGen: 29351K->24668K(58368K)] [ParOldGen: 174707K->174382K(175104K)] 204059K->199051K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0178411 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
0.511: [Full GC (Ergonomics) [PSYoungGen: 29664K->24960K(58368K)] [ParOldGen: 174382K->174969K(175104K)] 204047K->199930K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0205096 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
0.532: [Full GC (Ergonomics) [PSYoungGen: 29688K->25901K(58368K)] [ParOldGen: 174969K->174915K(175104K)] 204658K->200817K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0143629 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
0.547: [Full GC (Ergonomics) [PSYoungGen: 29657K->25755K(58368K)] [ParOldGen: 174915K->174778K(175104K)] 204573K->200534K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0183967 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
0.566: [Full GC (Ergonomics) [PSYoungGen: 29508K->26974K(58368K)] [ParOldGen: 174778K->174175K(175104K)] 204287K->201149K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0180451 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
0.585: [Full GC (Ergonomics) [PSYoungGen: 29522K->27705K(58368K)] [ParOldGen: 174175K->174143K(175104K)] 203697K->201849K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0100654 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
0.595: [Full GC (Ergonomics) [PSYoungGen: 29624K->27181K(58368K)] [ParOldGen: 174143K->174988K(175104K)] 203767K->202169K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0213894 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
0.617: [Full GC (Ergonomics) [PSYoungGen: 29556K->28209K(58368K)] [ParOldGen: 174988K->174988K(175104K)] 204544K->203197K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0027203 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.620: [Full GC (Ergonomics) [PSYoungGen: 29416K->28290K(58368K)] [ParOldGen: 174988K->174979K(175104K)] 204404K->203269K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0187576 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
0.639: [Full GC (Ergonomics) [PSYoungGen: 29681K->28371K(58368K)] [ParOldGen: 174979K->174788K(175104K)] 204660K->203160K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0041410 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.643: [Full GC (Ergonomics) [PSYoungGen: 29448K->28624K(58368K)] [ParOldGen: 174788K->174788K(175104K)] 204236K->203412K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0016343 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.645: [Full GC (Ergonomics) [PSYoungGen: 29610K->28768K(58368K)] [ParOldGen: 174788K->174788K(175104K)] 204399K->203556K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0014477 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.647: [Full GC (Ergonomics) [PSYoungGen: 29509K->28592K(58368K)] [ParOldGen: 174788K->174554K(175104K)] 204298K->203147K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0184236 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
0.665: [Full GC (Ergonomics) [PSYoungGen: 29631K->28924K(58368K)] [ParOldGen: 174554K->174466K(175104K)] 204185K->203391K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0115563 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
0.677: [Full GC (Ergonomics) [PSYoungGen: 29694K->28960K(58368K)] [ParOldGen: 174466K->174466K(175104K)] 204160K->203427K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0016275 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.679: [Full GC (Ergonomics) [PSYoungGen: 29661K->28924K(58368K)] [ParOldGen: 174466K->174466K(175104K)] 204128K->203391K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0015091 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.681: [Full GC (Ergonomics) [PSYoungGen: 29659K->28924K(58368K)] [ParOldGen: 174466K->174466K(175104K)] 204126K->203391K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0014054 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.682: [Full GC (Ergonomics) [PSYoungGen: 29693K->29189K(58368K)] [ParOldGen: 174466K->174328K(175104K)] 204159K->203517K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0149588 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
0.697: [Full GC (Ergonomics) [PSYoungGen: 29638K->29405K(58368K)] [ParOldGen: 174328K->174328K(175104K)] 203967K->203733K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0016381 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.699: [Full GC (Ergonomics) [PSYoungGen: 29587K->29116K(58368K)] [ParOldGen: 174328K->174328K(175104K)] 203915K->203445K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0014596 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.701: [Full GC (Ergonomics) [PSYoungGen: 29688K->29261K(58368K)] [ParOldGen: 174328K->174328K(175104K)] 204017K->203589K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0020676 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.703: [Full GC (Ergonomics) [PSYoungGen: 29423K->29231K(58368K)] [ParOldGen: 174328K->174328K(175104K)] 203752K->203559K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0019826 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.705: [Full GC (Ergonomics) [PSYoungGen: 29605K->29231K(58368K)] [ParOldGen: 174328K->174328K(175104K)] 203934K->203559K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0017615 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.707: [Full GC (Ergonomics) [PSYoungGen: 29632K->29231K(58368K)] [ParOldGen: 174328K->174328K(175104K)] 203961K->203559K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0016121 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.709: [Full GC (Ergonomics) [PSYoungGen: 29655K->29468K(58368K)] [ParOldGen: 175044K->174972K(175104K)] 204700K->204441K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0016597 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.710: [Full GC (Ergonomics) [PSYoungGen: 29694K->29477K(58368K)] [ParOldGen: 174972K->174972K(175104K)] 204667K->204450K(233472K), [Metaspace: 2771K->2771K(1056768K)], 0.0014617 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
